MBO Permanent Identifier*,Data Entry Person (mPID - you)*,Data Entered for Action (mPID)*,Name*,Description,Latitude (WGS 84),Longitude (WGS 84),GeoShape (mPID)
mbo_place_Elbe_DESH_220054,mbo_lhufnagel,mbo_wp3_d3_3,St. Peter / Eider,Sampling station in the Elbe - North Sea continuum,54.24333333,8.495,
mbo_place_Elbe_DESH_220057,mbo_lhufnagel,mbo_wp3_d3_3,Hörnum / Vortrapptief,Sampling station in the Elbe - North Sea continuum,54.7133,8.283333333,
mbo_place_Elbe_DESH_220065,mbo_lhufnagel,mbo_wp3_d3_3,Norderelbe,Sampling station in the Elbe - North Sea continuum,54.0016667,8.6683,
mbo_place_Elbe_DE_Helgo,mbo_lhufnagel,mbo_wp3_d3_3,Helgoland,Sampling station in the Elbe - North Sea continuum,54.193,7.878,
mbo_place_Elbe_DESH_220199,mbo_lhufnagel,mbo_wp3_d3_3,Helgoland Tiefe Rinne,Sampling station in the Elbe - North Sea continuum,54.14667,7.83333,
mbo_place_Elbe_DESH_220073,mbo_lhufnagel,mbo_wp3_d3_3,"Büsum, Stinteck",Sampling station in the Elbe - North Sea continuum,54.16116667,8.815,
mbo_place_Elbe_DESH_220077,mbo_lhufnagel,mbo_wp3_d3_3,"Nordstrand, Reithörn",Sampling station in the Elbe - North Sea continuum,54.47416667,8.801166667,
mbo_place_Elbe_DESH_220079,mbo_lhufnagel,mbo_wp3_d3_3,Amrumbank,Sampling station in the Elbe - North Sea continuum,54.725,80.575,
mbo_place_Elbe_DESH_220080,mbo_lhufnagel,mbo_wp3_d3_3,Vortrapptief,Sampling station in the Elbe - North Sea continuum,54.584,8.131666667,
mbo_place_Elbe_DESH_220082,mbo_lhufnagel,mbo_wp3_d3_3,Süderhever,Sampling station in the Elbe - North Sea continuum,54.3,8.2995,
mbo_place_Elbe_DESH_220083,mbo_lhufnagel,mbo_wp3_d3_3,Norderpiep,Sampling station in the Elbe - North Sea continuum,54.17816667,8.46,
mbo_place_Elbe_DESH_220145,mbo_lhufnagel,mbo_wp3_d3_3,Trischendamm,Sampling station in the Elbe - North Sea continuum,54.02316667,8.8095,
mbo_place_Elbe_DESM_DENI_59752051,mbo_lhufnagel,mbo_wp3_d3_3,Grauerort,Sampling station in the Elbe - North Sea continuum,53.67790514,9.495002138,
mbo_place_Elbe_DESM_DENI_59992055,mbo_lhufnagel,mbo_wp3_d3_3,Cuxhaven,Sampling station in the Elbe - North Sea continuum,53.87651553,8.705703831,
mbo_place_Elbe_DESM_SH_120207,mbo_lhufnagel,mbo_wp3_d3_3,Brunsbüttel,Sampling station in the Elbe - North Sea continuum,53.88043371,9.16882372,
mbo_place_Elbe_DESH_220006_fish,mbo_lhufnagel,mbo_wp3_d3_3,Südl. Amrum - fish,Sampling station in the Elbe - North Sea continuum,54.5916667,8.39166667,mbo_shape_Elbe_DESH_220006_fish
mbo_place_Elbe_DESH_220016_fish,mbo_lhufnagel,mbo_wp3_d3_3,Helgoland Rede - fish,Sampling station in the Elbe - North Sea continuum,54.188333,7.9,mbo_shape_Elbe_DESH_220016_fish
mbo_place_Elbe_DESH_220051_fish,mbo_lhufnagel,mbo_wp3_d3_3,Büsum - fish,Sampling station in the Elbe - North Sea continuum,54.1166667,8.855,mbo_shape_Elbe_DESH_220051_fish
mbo_place_Elbe_DESH_220054_fish,mbo_lhufnagel,mbo_wp3_d3_3,St. Peter / Eider - fish,Sampling station in the Elbe - North Sea continuum,54.2433333,8.495,mbo_shape_Elbe_DESH_220054_fish
mbo_place_Elbe_DESH_220055_fish,mbo_lhufnagel,mbo_wp3_d3_3,Westerhever - fish,Sampling station in the Elbe - North Sea continuum,54.375,8.51166667,mbo_shape_Elbe_DESH_220055_fish
mbo_place_Elbe_DESH_220057_fish,mbo_lhufnagel,mbo_wp3_d3_3,Hörnum / Vortrapptief - fish,Sampling station in the Elbe - North Sea continuum,54.7133,8.28333333,mbo_shape_Elbe_DESH_220057_fish
mbo_place_Elbe_DESH_220063_fish,mbo_lhufnagel,mbo_wp3_d3_3,Pellworm / Norderhever - fish,Sampling station in the Elbe - North Sea continuum,54.495,8.72333333,mbo_shape_Elbe_DESH_220063_fish
mbo_place_Elbe_DESH_220065_fish,mbo_lhufnagel,mbo_wp3_d3_3,Norderelbe - fish,Sampling station in the Elbe - North Sea continuum,54.0016667,8.6683,mbo_shape_Elbe_DESH_220065_fish
mbo_place_Guadalquivir_Yesos,mbo_lhufnagel,mbo_wp3_d3_3,Yesos / 5PSU,Sampling station in the Guadalquivir - Atlantic Ocean continuum,36.91269,-6.203985,
mbo_place_Guadalquivir_Esparraguera,mbo_lhufnagel,mbo_wp3_d3_3,Esparraguera,Sampling station in the Guadalquivir - Atlantic Ocean continuum,36.892713,-6.259377,
mbo_place_Guadalquivir_Puntalete,mbo_lhufnagel,mbo_wp3_d3_3,Puntalete / 15PSU,Sampling station in the Guadalquivir - Atlantic Ocean continuum,36.906993,-6.289627,
mbo_place_Guadalquivir_Salinas,mbo_lhufnagel,mbo_wp3_d3_3,Salinas,Sampling station in the Guadalquivir - Atlantic Ocean continuum,36.87359,-6.34684,
mbo_place_Guadalquivir_Bonanza,mbo_lhufnagel,mbo_wp3_d3_3,Bonanza / 25PSU,Sampling station in the Guadalquivir - Atlantic Ocean continuum,36.8182,-6.34721,
mbo_place_Guadalquivir_Broa,mbo_lhufnagel,mbo_wp3_d3_3,Broa,Sampling station in the Guadalquivir - Atlantic Ocean continuum,36.779115,-6.441263,
mbo_place_Guadalquivir_DONANA,mbo_lhufnagel,mbo_wp3_d3_3,Donana,Sampling station in the Guadalquivir - Atlantic Ocean continuum,36.809355,-6.409233,
mbo_place_Guadalquivir_CANAL,mbo_lhufnagel,mbo_wp3_d3_3,Canal,Sampling station in the Guadalquivir - Atlantic Ocean continuum,36.787224,-6.394642,
mbo_place_Guadalquivir_FARO,mbo_lhufnagel,mbo_wp3_d3_3,Faro,Sampling station in the Guadalquivir - Atlantic Ocean continuum,36.75436,-6.429317,
mbo_place_Guadalquivir_40901_3,mbo_lhufnagel,mbo_wp3_d3_3,Almodovar del Rio Cordoba,Sampling station in the Guadalquivir - Atlantic Ocean continuum,37.802989,-5.009707,
mbo_place_Guadalquivir_40901BIO,mbo_lhufnagel,mbo_wp3_d3_3,Almodovar del Rio Cordoba 2,Sampling station in the Guadalquivir - Atlantic Ocean continuum,37.827902,-4.932487,
mbo_place_Guadalquivir_41101_2,mbo_lhufnagel,mbo_wp3_d3_3,Posadas,Sampling station in the Guadalquivir - Atlantic Ocean continuum,37.79831,-5.1193,
mbo_place_Guadalquivir_41101BIO,mbo_lhufnagel,mbo_wp3_d3_3,Posadas 2,Sampling station in the Guadalquivir - Atlantic Ocean continuum,37.794976,-5.095606,
mbo_place_Guadalquivir_41302,mbo_lhufnagel,mbo_wp3_d3_3,Palma del Rio,Sampling station in the Guadalquivir - Atlantic Ocean continuum,37.694055,-5.33069,
mbo_place_Guadalquivir_41308_2,mbo_lhufnagel,mbo_wp3_d3_3,Palma del Rio 2,Sampling station in the Guadalquivir - Atlantic Ocean continuum,37.717142,-5.28842,
mbo_place_Guadalquivir_41416,mbo_lhufnagel,mbo_wp3_d3_3,Alcolea del Rio,Sampling station in the Guadalquivir - Atlantic Ocean continuum,37.620504,-5.676982,
mbo_place_Po_IT0801000100,mbo_lhufnagel,mbo_wp3_d3_3,Po a Castel S. Giovanni,Sampling station in the Po - Adriatic Sea continuum,45.0917,9.4456,
mbo_place_Po_IT0801000200,mbo_lhufnagel,mbo_wp3_d3_3,Po a Piacenza,Sampling station in the Po - Adriatic Sea continuum,45.0616,9.698,
mbo_place_Po_IT0801000250,mbo_lhufnagel,mbo_wp3_d3_3,"Po a Roncarolo, Caorso",Sampling station in the Po - Adriatic Sea continuum,45.0657,9.8375,
mbo_place_Po_IT0801000500,mbo_lhufnagel,mbo_wp3_d3_3,Po a Boretto,Sampling station in the Po - Adriatic Sea continuum,44.9081,10.5519,
mbo_place_Po_IT0801000700,mbo_lhufnagel,mbo_wp3_d3_3,Po a Pontelagoscuro,Sampling station in the Po - Adriatic Sea continuum,44.8876,11.6018,
mbo_place_Po_BOCCA_C,mbo_lhufnagel,mbo_wp3_d3_3,"Sacca di Goro, Bocca C",Sampling station in the Po - Adriatic Sea continuum,44.785716,12.307783,
mbo_place_Po_BOCCA_T,mbo_lhufnagel,mbo_wp3_d3_3,"Sacca di Goro, Bocca T",Sampling station in the Po - Adriatic Sea continuum,44.7885,12.292183,
mbo_place_Po_Station_2,mbo_lhufnagel,mbo_wp3_d3_3,"Sacca di Goro, Station 2",Sampling station in the Po - Adriatic Sea continuum,44.8256,12.28,
mbo_place_Po_Station_4,mbo_lhufnagel,mbo_wp3_d3_3,"Sacca di Goro, Station 4",Sampling station in the Po - Adriatic Sea continuum,44.819683,12.322316,
mbo_place_Po_Station_5,mbo_lhufnagel,mbo_wp3_d3_3,"Sacca di Goro, Station 5",Sampling station in the Po - Adriatic Sea continuum,44.800216,12.327,
mbo_place_Po_Station_6,mbo_lhufnagel,mbo_wp3_d3_3,"Sacca di Goro, Station 6",Sampling station in the Po - Adriatic Sea continuum,44.798533,12.355466,
mbo_place_Po_Station_C1,mbo_lhufnagel,mbo_wp3_d3_3,"Sacca di Goro, Station C1",Sampling station in the Po - Adriatic Sea continuum,44.8176833,12.32325,
