MBO Permanent Identifier*,Data Entry Person (mPID - you)*,Data Entered for Action (mPID)*,Name*,Description,Latitude (WGS 84),Longitude (WGS 84),GeoShape (mPID)
mbo_place_emobon_mbal4,mbo_madsrj,mbo_db_tool_population,EMO BON Observatory: MBAL4,"The EMOBON genomic observatory, located at Station L4 in the Western Channel off Plymouth, UK, is part of the Western Channel Observatory (WCO). This long-term ecological site, studied for over a century, focuses on marine biodiversity through plankton sampling, fish surveys, and advanced omics techniques like metabarcoding and metagenomics.",50.25,-4.217,
mbo_place_emobon_bergen,mbo_madsrj,mbo_db_tool_population,EMO BON Observatory: Bergen,"The EMOBON genomic observatory in a West Norwegian fjord, part of the North Sea, monitors the tide-driven flux of marine larvae annually. While not previously included in genomic biodiversity campaigns, this site experiences a phytoplankton bloom peak in late March and serves as a recreational area with seasonal boat activity.",60.269671,5.21957,
mbo_place_emobon_umf,mbo_madsrj,mbo_db_tool_population,EMO BON Observatory: UMF,"The EMOBON genomic observatory at Station B7 in the Bothnian Sea, Sweden, is part of the national monitoring program with data spanning since 2001. This site tracks hydrographic, biological, and chemical parameters, alongside benthic fauna, and experiences seasonal blooms, including spring diatoms and late-summer cyanobacteria, with genomic sampling conducted for advanced studies.",63.525,19.808167,
mbo_place_task_4_4_fpod,mbo_kexter,mbo_task_4_4_seatrial_fpod,Belgium EEZ Task 4.4 FPOD,The location of the FPOD used in the Task 4.4 sea trial,51.406617,2.996333,mbo_point_task_4_4_fpod
mbo_place_task_4_4_echosounder,mbo_kexter,mbo_task_4_4_seatrial_echosounder,Belgium EEZ Task 4.4 echo-sounder,The location of the echo-sounder used in the Task 4.4 sea trial,51.40645,2.8185,mbo_point_task_4_4_echosounder
mbo_place_task_4_4_hydrophone,mbo_kexter,mbo_task_4_4_seatrial_hydrophone,Belgium EEZ Task 4.4 hydrophone,The location of the hydrophone used in the Task 4.4 sea trial,51.40645,2.8185,mbo_shape_task_4_4_hydrophone
mbo_place_gulf_of_naples,mbo_sformel,mbo_wp2_d2_2,Gulf of Naples,"Gulf of Naples, Tyrrhenian Sea, Italy. Location of the LTER-MareChiara and NEREA Observatory sampling sites.",40.75,14.25,
mbo_place_seatrial_rov1,mbo_kexter,mbo_task_4_4_seatrial_rov,Belgian EEZ Task 4.4 ROV low light camera,The location of the ROV low-light camera work during the Task 4.4 sea trial,51.407058,2.818065,
mbo_place_seatrial_rov2a,mbo_kexter,mbo_task_4_4_seatrial_rov,Danish EEZ Task 4.4 ROV multi-camera a,The location of the ROV multi-camera work during the Task 4.4 sea trial,55.76103,12.600475,
mbo_place_seatrial_rov2b,mbo_kexter,mbo_task_4_4_seatrial_rov,Danish EEZ Task 4.4 ROV multi-camera b,The location of the ROV multi-camera work during the Task 4.4 sea trial,55.76318,12.6027617,
