MBO Permanent Identifier*,Data Entry Person (mPID - you)*,Data Entered for Action (mPID)*,Given Name*,Family Name*,Works for Organizations (mPIDs),Affiliated to Organizations (mPIDs),Contact Points (mPIDs),Identifiers
mbo_madsrj,mbo_sformel,mbo_db_tool_population,Mads Reinholdt,Jensen,mbo_org_uit_genetics,,,https://orcid.org/0000-0001-8240-1083
mbo_pciarlini_junger,mbo_madsrj,mbo_wp2_d2,Pedro Ciarlini,Junger,,,,
mbo_rlagaisse,mbo_sformel,mbo_db_tool_population,Rune,Lagaisse,mbo_org_vliz,,,https://orcid.org/0000-0001-9191-9104
mbo_claguionie,mbo_madsrj,mbo_wp2_d2,Claire,Laguionie,,,,
mbo_25892,mbo_sformel,mbo_db_tool_population,Kate,Larkin,,,,https://oceanexpert.org/expert/25892
mbo_13339,mbo_sformel,mbo_db_tool_population,Pierre Yves,Le Traon,,,,https://oceanexpert.org/expert/13339
mbo_23316,mbo_sformel,mbo_db_tool_population,Dan,Lear,mbo_org_mba,,,https://oceanexpert.org/expert/23316
mbo_7925,mbo_sformel,mbo_db_tool_population,Inga,Lips,,,,https://oceanexpert.org/expert/7925
mbo_dludicone,mbo_sformel,mbo_wp2_d2_2,Daniele,Ludicone,,mbo_org_szn,,https://oceanexpert.org/expert/59161
mbo_59780,mbo_sformel,mbo_db_tool_population,Bénédicte,Madon,,,,https://oceanexpert.org/expert/59780
mbo_pmariani,mbo_sformel,mbo_db_tool_population,Patrizio,Mariani,,,,
mbo_59174,mbo_sformel,mbo_db_tool_population,Mojtaba,Masoudi,,,,https://oceanexpert.org/expert/59174
mbo_imatejusova,mbo_madsrj,mbo_wp2_d2,Iveta,Matejusová,,,,
mbo_62379,mbo_sformel,mbo_db_tool_population,Abigail,McQuatters-Gollop,,,,https://oceanexpert.org/expert/62379
mbo_dkumazawa_morais,mbo_madsrj,mbo_wp2_d2,Daniel Kumazawa,Morais,mbo_org_uit_genetics,,,
mbo_55557,mbo_sformel,mbo_db_tool_population,Lina,Mtwana Nordlund,,,,https://oceanexpert.org/expert/55557
mbo_1486,mbo_sformel,mbo_db_tool_population,Frank,Muller-Karger,,,,https://oceanexpert.org/expert/1486
mbo_58452,mbo_sformel,mbo_db_tool_population,Carlota,Muñiz,mbo_org_vliz,,,https://oceanexpert.org/expert/58452
mbo_fnot,mbo_madsrj,mbo_wp2_d2,Fabrice,Not,,,,https://oceanexpert.org/expert/58571
mbo_jnowe,mbo_sformel,mbo_db_tool_population,Jo-Hannes,Nowé,mbo_org_vliz,,,https://orcid.org/0009-0000-1555-5867
mbo_mobst,mbo_sformel,mbo_db_tool_population,Matthias,Obst,mbo_org_ugot,,,https://orcid.org/0000-0003-0264-9631
mbo_27395,mbo_sformel,mbo_db_tool_population,Alessandro,Oggioni,,,,https://oceanexpert.org/expert/27395
mbo_aounoufriou,mbo_madsrj,mbo_wp2_d2,Aubrie,Onoufriou,,,,
mbo_44123,mbo_sformel,mbo_db_tool_population,Nicolas,Pade,mbo_org_mba,,,https://oceanexpert.org/expert/44123
mbo_aperedoarce,mbo_aperedoarce,mbo_wp5_t5_1_1,Andrés,Peredo Arce,mbo_org_sgn,,,https://oceanexpert.org/expert/84963
mbo_43716,mbo_sformel,mbo_db_tool_population,Marc,Portier,mbo_org_vliz,,,https://oceanexpert.org/expert/43716
mbo_39344,mbo_sformel,mbo_db_tool_population,Kim,Præbel,mbo_org_uit_genetics,,,https://oceanexpert.org/expert/39344
mbo_26192,mbo_sformel,mbo_db_tool_population,Pieter,Provoost,,,,https://oceanexpert.org/expert/26192
mbo_35458,mbo_sformel,mbo_db_tool_population,João,Rodrigues,,,,https://oceanexpert.org/expert/35458
mbo_lrusso,mbo_sformel,mbo_wp2_d2_2,Luca,Russo,,mbo_org_szn,,https://orcid.org/0000-0002-8550-6400
mbo_35553,mbo_sformel,mbo_db_tool_population,Ioulia,Santi,,,,https://oceanexpert.org/expert/35553
mbo_62286,mbo_sformel,mbo_db_tool_population,Michelle,Silva del Pozo,,,,https://oceanexpert.org/expert/62286
mbo_57469,mbo_sformel,mbo_db_tool_population,Alice,Soccodato,,,,https://oceanexpert.org/expert/57469
mbo_23935,mbo_sformel,mbo_db_tool_population,Isabel,Sousa Pinto,,,,https://oceanexpert.org/expert/23935
mbo_43352,mbo_sformel,mbo_db_tool_population,Saara,Suominen,mbo_org_obis,,,https://oceanexpert.org/expert/43352
mbo_27401,mbo_sformel,mbo_db_tool_population,Paolo,Tagliolato,mbo_org_cnr,,,https://oceanexpert.org/expert/27401
mbo_60462,mbo_sformel,mbo_db_tool_population,Megan,Tijssens,,,,https://oceanexpert.org/expert/60462
mbo_avasic,mbo_sformel,mbo_db_tool_population,Alexandra,Vasic,mbo_org_embrc,,,
mbo_60642,mbo_sformel,mbo_db_tool_population,Mathilde,Vidal,,,,https://oceanexpert.org/expert/60642
mbo_jwarwickdugdale,mbo_jwarwickdugdale,mbo_wp2_t2_3,Joanna,Warwick-Dugdale,mbo_org_mba,,mbo_contact_wp2_d2_3,https://oceanexpert.org/expert/88666|https://orcid.org/0000-0001-5242-6706
mbo_gzampicinini,mbo_sformel,mbo_wp2_d2_2,Gianpaolo,Zampicinini,,mbo_org_szn,,https://orcid.org/0000-0003-3028-5812
mbo_lzinger,mbo_sformel,mbo_db_tool_population,Lucie,Zinger,,,,
mbo_etramontin,mbo_sformel,mbo_wp2_d2_2,Eugenia,Tramontin,mbo_org_szn,,,https://orcid.org/0009-0000-9228-7886
mbo_javieralonso,mbo_kexter,mbo_wp4_d4_4,Javier,Alonso Fernandez,mbo_org_dtu,,,https://orcid.org/0009-0007-8561-6793
mbo_julierobidart,mbo_kexter,mbo_wp4_d4_4,Julie,Robidart,mbo_org_noc,,,https://orcid.org/0000-0001-9805-3570
mbo_danieledecorte,mbo_kexter,mbo_wp4_d4_4,Daniele de Corte,de Corte,mbo_org_univie,,,https://orcid.org/0000-0002-9782-9821
mbo_abennett,mbo_sformel,mbo_wp2_d2_2,Adam John,Bennett,mbo_org_minderoo,,,https://orcid.org/0009-0000-7038-2890
mbo_aabdala,mbo_sformel,mbo_wp2_d2_2,Alejandro,Abdala,,,,
