MBO Permanent Identifier,Data Entry Person (MBO ID; you),Title,Abstract,How to Perform Action (MBO ID),Agent (MBO ID),Participants (MBO IDs),Action Inputs (URIs),Resulting Datasets (MBO IDs),Resulting Actions (MBO IDs)
mbo_1000000,mbo_todo_person_roblinksdata,MARCO-BOLO Tasks,The combined actions of the entire MARCO-BOLO project.,,mbo_todo_organization_mbo,,,,mbo_task_1_1
mbo_task_1_1,mbo_todo_person_roblinksdata,MBO Task 1.1,"Coordinate and advance standardised and quality-controlled data flows into regional and international long-term archives",,mbo_todo_organization_mbo_wp1,,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5fc778cec&appId=PPGMS|https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5fdeb3fa7&appId=PPGMS,,
